gene_id	gene_name	T47D_count	T47D_FPKM												
ENSG00000213857	RP11-12M9.4	0	0												
ENSG00000213856	VDAC1P2	113	12.03789008												
ENSG00000213854	CNN2P6	0	0												
ENSG00000213859	KCTD11	259	6.718020319												
ENSG00000178773	CPNE7	34	0.578498274												
ENSG00000225816	GTF3AP5	0	0												
ENSG00000280881	RP11-275E15.2	0	0												
ENSG00000225814	GRPEL2P2	1	0.135182125												
ENSG00000225815	AC092669.6	0	0												
ENSG00000225813	AC009299.4	7	0.883974334												
ENSG00000225811	RP11-547I7.1	0	0												
ENSG00000225818	AC118653.2	0	0												
ENSG00000225819	AC013269.3	0	0												
ENSG00000229306	AP001464.4	0	0												
ENSG00000229307	LINC00459	0	0												
ENSG00000229305	RP11-431K24.2	0	0												
ENSG00000229302	TAF9P2	0	0												
ENSG00000229303	PPIAP25	0	0												
ENSG00000229301	RP5-905H7.8	0	0												
ENSG00000229308	AC010084.1	0	0												
ENSG00000229309	RP11-452B18.2	0	0												
ENSG00000278071	RP11-736N17.10	4	0.466140039												
ENSG00000240174	RP11-851M3.1	0	0												
ENSG00000278077	RP11-157L3.10	0	0												
ENSG00000278075	RP11-248M19.1	1	0.259518693												
ENSG00000055070	SZRD1	1597	14.26693636												
ENSG00000227411	BAATP1	0	0												
ENSG00000155719	OTOA	1	0.010009064												
ENSG00000227413	RP5-1042K10.12	0	0												
ENSG00000227416	RP11-109P14.2	0	0												
ENSG00000227417	RP11-397P13.6	0	0												
ENSG00000162337	LRP5	1137	12.77690053												
ENSG00000155714	PDZD9	1	0.064099097												
ENSG00000182010	RTKN2	543	5.003473016												
ENSG00000182013	PNMAL1	3	0.036859654												
ENSG00000244748	RN7SL153P	0	0												
ENSG00000186704	DTX2P1	28	1.552622754												
ENSG00000251776	RN7SKP242	0	0												
ENSG00000245293	RP11-286E11.1	1	0.026267988												
ENSG00000164659	KIAA1324L	119	0.911867769												
ENSG00000242748	RPL23AP81	1	0.193944376												
ENSG00000242747	RP11-30K9.1	0	0												
ENSG00000164651	SP8	0	0												
ENSG00000242741	RP11-20B7.1	0	0												
ENSG00000164654	MIOS	412	3.116962												
ENSG00000114978	MOB1A	1644	18.39662406												
ENSG00000252233	RN7SKP253	0	0												
ENSG00000256925	ADGRA1-AS1	0	0												
ENSG00000161021	MAML1	855	6.609261405												
ENSG00000256922	RP11-749H20.1	0	0												
ENSG00000256923	RP11-449P1.1	0	0												
ENSG00000226331	RPL23AP28	1	0.192706434												
ENSG00000261608	SLC25A1P4	0	0												
ENSG00000256928	RP11-809N8.2	0	0												
ENSG00000254694	RP11-50B3.4	0	0												
ENSG00000254695	RP11-396O20.1	0	0												
ENSG00000254696	RP11-72M10.7	0	0												
ENSG00000254697	COPS8P3	0	0												
ENSG00000254690	GS1-393G12.12	2	0.407982089												
ENSG00000254691	RP11-91P24.5	2	0.328755077												
ENSG00000266929	RP11-400F19.8	0	0												
ENSG00000266928	CTB-70G10.1	0	0												
ENSG00000266925	RP11-434D2.7	0	0												
ENSG00000266924	RP11-154H12.2	0	0												
ENSG00000254698	RP11-659G9.3	0	0												
ENSG00000254699	RP11-12D16.2	0	0												
ENSG00000266921	RP11-15A1.7	2	0.038329253												
ENSG00000266920	ACTBP9	2	0.164826249												
ENSG00000257343	RP11-641A6.8	0	0												
ENSG00000257342	RP11-571M6.7	0	0												
ENSG00000257341	AL928654.7	1	0.04668661												
ENSG00000215867	KRT18P57	0	0												
ENSG00000257346	RP11-386G11.8	0	0												
ENSG00000257345	RP11-511B23.1	0	0												
ENSG00000234337	RP11-297L17.6	149	18.25713281												
ENSG00000215861	WI2-1896O14.1	9	0.873476575												
ENSG00000119509	INVS	181	2.173994191												
ENSG00000228949	UGT1A12P	0	0												
ENSG00000256699	RP11-669N7.3	0	0												
ENSG00000256694	RP11-598F7.5	0	0												
ENSG00000256695	RP1-166H1.2	1	0.248142531												
ENSG00000228943	RP5-1053E7.2	0	0												
ENSG00000267733	RP11-64C12.3	0	0												
ENSG00000228940	RP11-348A7.1	0	0												
ENSG00000165309	ARMC3	10	0.1014822												
ENSG00000165304	MELK	899	14.31929316												
ENSG00000165300	SLITRK5	194	0.832435514												
ENSG00000101608	MYL12A	1384	19.52973367												
ENSG00000101605	MYOM1	1	0.009353715												
ENSG00000170100	ZNF778	359	1.800186529												
ENSG00000237026	RP11-328P23.2	0	0												
ENSG00000187900	OR5H7P	0	0												
ENSG00000198791	CNOT7	1059	7.120613383												
ENSG00000198792	TMEM184B	1013	5.275360029												
ENSG00000198793	MTOR	1633	10.77059374												
ENSG00000198794	SCAMP5	138	0.838321531												
ENSG00000198795	ZNF521	3	0.026228156												
ENSG00000198796	ALPK2	1	0.0063448												
ENSG00000198797	BRINP2	0	0												
ENSG00000231426	RP5-899B16.1	2	0.112651771												
ENSG00000197776	KLHDC1	16	0.344392804												
ENSG00000231424	RP1-45C12.1	1	0.217721211												
ENSG00000175550	DRAP1	601	12.47044959												
ENSG00000231422	LINC01516	0	0												
ENSG00000175556	LONRF3	0	0												
ENSG00000197771	MCMBP	838	9.686182389												
ENSG00000231421	AC006050.2	0	0												
ENSG00000279848	CTA-992D9.9	0	0												
ENSG00000279849	AL023875.1	1	0.241525397												
ENSG00000161682	FAM171A2	325	6.425545965												
ENSG00000240173	RN7SL771P	0	0												
ENSG00000179420	OR6W1P	0	0												
ENSG00000279840	RP1-228P16.9	0	0												
ENSG00000279841	RP11-274A11.4	0	0												
ENSG00000279842	RP11-305A4.2	0	0												
ENSG00000279844	RP11-20F18.1	0	0												
ENSG00000279845	RP11-6L6.4	3	0.582872933												
ENSG00000279846	RP11-20G13.4	0	0												
ENSG00000279847	C8orf87	0	0												
ENSG00000076321	KLHL20	298	4.336891608												
ENSG00000183864	TOB2	523	8.87187673												
ENSG00000183862	CNGA2	0	0												
ENSG00000167680	SEMA6B	139	2.57499852												
ENSG00000124217	MOCS3	401	7.111402367												
ENSG00000124214	STAU1	2597	30.19522154												
ENSG00000124215	CDH26	9	0.091960465												
ENSG00000124212	PTGIS	0	0												
ENSG00000167685	ZNF444	564	4.004913378												
ENSG00000247595	SPTY2D1-AS1	4	0.133403613												
ENSG00000161970	RPL26	4706	77.76131981												
ENSG00000175073	VCPIP1	621	5.656004431												
ENSG00000161973	CCDC42	0	0												
ENSG00000255279	RP11-375D13.4	0	0												
ENSG00000255275	RP13-279N23.2	2	0.041461215												
ENSG00000255274	TMPRSS4-AS1	0	0												
ENSG00000255277	ABCC6P2	46	3.213997104												
ENSG00000255276	RRM1-AS1	3	0.785025395												
ENSG00000255271	RP4-594L9.2	0	0												
ENSG00000255270	NAV2-IT1	0	0												
ENSG00000255273	AF238378.7	0	0												
ENSG00000255272	RP11-646J21.6	0	0												
ENSG00000239670	RP4-803A2.2	0	0												
ENSG00000160087	UBE2J2	467	3.245124094												
ENSG00000036054	TBC1D23	394	3.687927526												
ENSG00000104903	LYL1	0	0												
ENSG00000228349	RPS26P4	0	0												
ENSG00000002587	HS3ST1	0	0												
ENSG00000002586	CD99	615	8.597924731												
ENSG00000231013	AC013275.2	0	0												
ENSG00000263590	RP11-403I13.7	0	0												
ENSG00000237868	AC097533.1	6	1.134310768												
ENSG00000177954	RPS27	186	11.31122079												
ENSG00000177951	BET1L	402	4.448416536												
ENSG00000280059	RP11-401I19.2	0	0												
ENSG00000280058	RP1-131F15.3	0	0												
ENSG00000198242	RPL23A	1525	34.48799712												
ENSG00000280056	RP11-562F9.3	0	0												
ENSG00000237862	RP1-63G5.7	0	0												
ENSG00000237863	RP6-24A23.3	0	0												
ENSG00000198246	SLC29A3	65	1.661253051												
ENSG00000223012	RN7SKP264	0	0												
ENSG00000280051	RP11-206B11.1	0	0												
ENSG00000280050	AC008622.1	0	0												
ENSG00000135917	SLC19A3	1	0.010384318												
ENSG00000135916	ITM2C	173	2.731519319												
ENSG00000135914	HTR2B	3	0.120934455												
ENSG00000135913	USP37	332	2.092934238												
ENSG00000135912	TTLL4	433	2.153250675												
ENSG00000092148	HECTD1	3260	15.56200264												
ENSG00000034693	PEX3	176	5.716276675												
ENSG00000135919	SERPINE2	9	0.068065952												
ENSG00000230487	PSMG3-AS1	105	0.744368978												
ENSG00000176396	EID2	210	9.599015598												
ENSG00000230484	OR51A10P	0	0												
ENSG00000176390	CRLF3	309	4.969846763												
ENSG00000230482	ATP5G2P3	0	0												
ENSG00000230481	IGKV1OR22-5	0	0												
ENSG00000176393	RNPEP	2441	35.57039867												
ENSG00000176399	DMRTA1	1	0.016263606												
ENSG00000230489	VAV3-AS1	0	0												
ENSG00000243900	RN7SL320P	0	0												
ENSG00000243902	ELFN2	0	0												
ENSG00000243903	RP11-285B24.1	0	0												
ENSG00000243904	RPSAP5	2	0.204914081												
ENSG00000083635	NUFIP1	208	5.39364351												
ENSG00000248029	CTD-2313F11.3	0	0												
ENSG00000248027	CTD-2383M3.1	4	0.194204188												
ENSG00000063515	GSC2	0	0												
ENSG00000279713	CTD-3035K23.3	1	0.046399602												
ENSG00000247624	CPEB2-AS1	0	0												
ENSG00000247627	MTND4P12	246	16.1768079												
ENSG00000167531	LALBA	0	0												
ENSG00000167536	DHRS13	335	6.118298949												
ENSG00000167535	CACNB3	585	3.692213109												
ENSG00000236472	AC002401.1	0	0												
ENSG00000188886	ASTL	9	0.434873877												
ENSG00000279716	AC006128.2	88	4.797404988												
ENSG00000188883	KLRG2	98	2.652919388												
ENSG00000279717	LLNLF-158E9.1	0	0												
ENSG00000241506	PSMC1P1	1298	89.04163281												
ENSG00000241505	RP11-161I10.1	0	0												
ENSG00000094796	KRT31	1	0.056749388												
ENSG00000279719	RP11-81A1.7	0	0												
ENSG00000226453	RP11-379B8.1	0	0												
ENSG00000239249	RN7SL757P	0	0												
ENSG00000237289	CKMT1B	213	2.522543287												
ENSG00000239739	RP11-373E16.4	0	0												
ENSG00000237285	HNRNPA1P2	1	0.094345858												
ENSG00000237286	AC004906.3	0	0												
ENSG00000237280	RP11-96C23.9	0	0												
ENSG00000237281	CATIP-AS2	0	0												
ENSG00000237282	LINC00851	0	0												
ENSG00000237283	RP11-316I3.1	0	0												
ENSG00000272254	RP11-531A24.7	1	0.207258636												
ENSG00000272255	CTD-3224K15.3	0	0												
ENSG00000272256	RP11-489E7.4	1	0.127566231												
ENSG00000272250	RP11-346C20.4	0	0												
ENSG00000272259	RP11-305P22.9	0	0												
ENSG00000101327	PDYN	1	0.017437817												
ENSG00000271781	CTD-2589H19.6	29	3.319854591												
ENSG00000271780	RP11-1017G21.5	47	3.944311651												
ENSG00000271787	RP11-254F7.3	0	0												
ENSG00000271784	RP1-28H20.3	1	0.14353728												
ENSG00000200475	RN7SKP162	0	0												
ENSG00000049192	ADAMTS6	19	0.125637455												
ENSG00000271789	RP5-1112D6.7	0	0												
ENSG00000271788	CTD-2201E18.5	2	0.223358875												
ENSG00000274363	RP11-104O19.4	2	0.244789253												
ENSG00000200472	RN7SKP44	2	0.573240657												
ENSG00000101323	HAO1	0	0												
ENSG00000237136	C4orf51	0	0												
ENSG00000177042	TMEM80	199	2.628303602												
ENSG00000237135	DDX10P1	0	0												
ENSG00000177047	IFNW1	0	0												
ENSG00000129566	TEP1	432	2.294712824												
ENSG00000177045	SIX5	200	2.129851139												
ENSG00000272789	RP11-286H15.1	0	0												
ENSG00000272787	KB-226F1.2	8	1.09258163												
ENSG00000272784	RP11-335L23.5	1	0.142858082												
ENSG00000154252	GAL3ST2	12	0.793118563												
ENSG00000272783	RP13-1016M1.2	0	0												
ENSG00000237138	HUNK-AS1	0	0												
ENSG00000237139	RP11-137L10.5	2	0.637831153												
ENSG00000277550	RP5-1057B20.3	0	0												
ENSG00000141232	TOB1	3125	61.71673417												
ENSG00000277556	OR13C5	0	0												
ENSG00000277558	RP3-468O1.6	0	0												
ENSG00000277559	RP11-434E6.4	26	1.614738622												
ENSG00000172671	ZFAND4	187	1.681360319												
ENSG00000112337	SLC17A2	0	0												
ENSG00000274098	RN7SL787P	0	0												
ENSG00000274099	ABCB10P1	0	0												
ENSG00000279068	CH17-140K24.5	0	0												
ENSG00000223761	RP11-57C13.4	0	0												
ENSG00000223764	RP11-54O7.3	142	2.0836512												
ENSG00000223765	RP1-288M22.2	0	0												
ENSG00000279062	CH507-216K13.1	0	0												
ENSG00000279063	CTD-2537I9.15	0	0												
ENSG00000223768	LINC00205	31	2.018009881												
ENSG00000279061	RP3-332O11.2	0	0												
ENSG00000236427	RP11-107M16.2	0	0												
ENSG00000236426	RP11-79M19.2	0	0												
ENSG00000236425	AC090018.1	0	0												
ENSG00000279065	RP11-264J4.10	0	0												
ENSG00000136750	GAD2	0	0												
ENSG00000136754	ABI1	533	5.694148614												
ENSG00000136758	YME1L1	1967	16.59648115												
ENSG00000270781	RP11-501C14.9	1	0.300903734												
ENSG00000270782	RP11-500K19.2	0	0												
ENSG00000232508	MRPL45P1	0	0												
ENSG00000232500	AP005273.1	0	0												
ENSG00000232502	AC073464.7	1	0.264058378												
ENSG00000232503	CYCSP8	0	0												
ENSG00000232504	ST3GAL5-AS1	0	0												
ENSG00000232505	XXbac-BPG308J9.3	0	0												
ENSG00000249087	ZNF436-AS1	31	0.559173654												
ENSG00000116014	KISS1R	27	0.862384809												
ENSG00000116017	ARID3A	424	4.351030214												
ENSG00000116016	EPAS1	395	3.118359452												
ENSG00000249082	C5orf66-AS1	25	1.715010736												
ENSG00000249081	OR5M14P	0	0												
ENSG00000234034	AP000959.2	0	0												
ENSG00000250567	CTD-2154H6.1	0	0												
ENSG00000234033	RAC1P8	0	0												
ENSG00000146676	PURB	2769	27.64749961												
ENSG00000242860	RN7SL180P	0	0												
ENSG00000197674	OR51C1P	0	0												
ENSG00000234030	TMEM97P1	0	0												
ENSG00000187243	MAGED4B	1	0.008389406												
ENSG00000120440	TTLL2	1	0.017638174												
ENSG00000249156	RP11-432M8.9	0	0												
ENSG00000250560	RP11-598G2.1	0	0												
ENSG00000274459	Metazoa_SRP	0	0												
ENSG00000180211	RP1-278E11.3	18	3.880731642												
ENSG00000271259	RP11-1109F11.5	0	0												
ENSG00000187244	BCAM	2209	19.73817933												
ENSG00000276208	RP11-168J5.2	0	0												
ENSG00000271254	AC240274.1	375	5.679299478												
ENSG00000276205	RP11-529O20.2	0	0												
ENSG00000276204	RP11-203I2.2	0	0												
ENSG00000276203	ANKRD20A3	10	0.075649596												
ENSG00000276202	Metazoa_SRP	0	0												
ENSG00000223867	AC098592.7	0	0												
ENSG00000276200	RN7SL820P	0	0												
ENSG00000186118	TEX38	1	0.029483081												
ENSG00000270124	RP11-118F19.1	3	0.451944737												
ENSG00000270127	RP11-526I2.5	0	0												
ENSG00000270120	RP11-327F22.6	4	0.48551047												
ENSG00000174099	MSRB3	279	1.688070311												
ENSG00000278338	VWA8-AS1	3	0.109479559												
ENSG00000224233	OR2J4P	0	0												
ENSG00000235199	CYP2C58P	0	0												
ENSG00000224235	RP5-1027O11.1	1	0.115085164												
ENSG00000187969	ZCCHC13	0	0												
ENSG00000137409	MTCH1	2363	41.6205978												
ENSG00000224236	MRRFP1	5	0.27030617												
ENSG00000224239	AC090044.2	0	0												
ENSG00000278330	RP11-4B16.4	0	0												
ENSG00000235191	NUCB1-AS1	0	0												
ENSG00000235196	RP1-3E10.2	0	0												
ENSG00000235197	ZNF33AP1	1	0.04461676												
ENSG00000264655	CTD-2267D19.4	2	0.37195903												
ENSG00000275576	RP5-836N17.4	0	0												
ENSG00000275572	GRIFIN	1	0.087934004												
ENSG00000060138	YBX3	578	3.628813137												
ENSG00000275578	RP11-357E16.1	0	0												
ENSG00000281593	GS1-114I9.3	1	0.13599403												
ENSG00000044012	GUCA2B	0	0												
ENSG00000231857	MORF4L1P5	0	0												
ENSG00000282998	RP11-152D8.1	0	0												
ENSG00000175946	KLHL38	11	0.502571994												
ENSG00000231852	CYP21A2	1	0.009946412												
ENSG00000231851	UTAT33	1	0.095540109												
ENSG00000130751	NPAS1	73	1.135383233												
ENSG00000180818	HOXC10	1336	25.75049311												
ENSG00000231859	AC007875.2	0	0												
ENSG00000130755	GMFG	3	0.081007691												
ENSG00000233437	RP13-580B18.1	0	0												
ENSG00000186115	CYP4F2	0	0												
ENSG00000206150	RNASE13	0	0												
ENSG00000110756	HPS5	300	2.801989029												
ENSG00000248840	RP11-357G3.2	2	0.320042487												
ENSG00000248842	CTB-1H10.1	0	0												
ENSG00000248843	RP11-357G3.1	0	0												
ENSG00000248844	RP11-626H12.3	0	0												
ENSG00000248846	CTD-2016O11.1	0	0												
ENSG00000248847	RP11-26C10.1	0	0												
ENSG00000248848	PPBPP2	0	0												
ENSG00000134278	SPIRE1	265	1.778399451												
ENSG00000230813	RP11-690C23.5	0	0												
ENSG00000230814	USP9YP24	0	0												
ENSG00000230815	RP11-49O14.3	0	0												
ENSG00000064726	BTBD1	1167	19.77409135												
ENSG00000230818	MTND2P16	0	0												
ENSG00000230819	ZNF736P5Y	0	0												
ENSG00000217791	ASS1P9	2	0.146556673												
ENSG00000072506	HSD17B10	1256	60.81914753												
ENSG00000181135	ZNF707	217	0.937255272												
ENSG00000134183	GNAT2	0	0												
ENSG00000069712	KIAA1107	53	1.053369149												
ENSG00000270587	RP11-51F16.9	1	0.219302721												
ENSG00000134186	PRPF38B	652	6.7837694												
ENSG00000134184	GSTM1	1	0.01963834												
ENSG00000262712	RP11-295D4.1	8	0.371668353												
ENSG00000262714	RP11-44F14.8	44	1.860035574												
ENSG00000248211	TRPC7-AS1	0	0												
ENSG00000248210	RP11-24I21.1	0	0												
ENSG00000248213	CICP16	14	0.450663519												
ENSG00000037042	TUBG2	382	9.948357336												
ENSG00000260622	RP11-690I21.3	0	0												
ENSG00000260620	RP11-883G14.4	0	0												
ENSG00000260621	RP11-413H22.2	1	0.164976364												
ENSG00000260626	RP11-23E10.3	0	0												
ENSG00000078487	ZCWPW1	80	1.085097074												
ENSG00000260625	RP11-452L6.7	2	0.276555798												
ENSG00000248215	RP11-722M1.1	9	0.395800702												
ENSG00000260628	RP11-1166P10.1	0	0												
ENSG00000260629	BGLT3	0	0												
ENSG00000042753	AP2S1	1100	25.90529983												
ENSG00000196096	AC079610.2	3	0.157277815												
ENSG00000248216	KCTD9P5	1	0.077411986												
ENSG00000105855	ITGB8	48	0.244706919												
ENSG00000105854	PON2	542	5.116613563												
ENSG00000111481	COPZ1	1648	18.56296464												
ENSG00000105856	HBP1	314	2.35722955												
ENSG00000105851	PIK3CG	0	0												
ENSG00000079689	SCGN	0	0												
ENSG00000105852	PON3	195	3.250618814												
ENSG00000142252	GEMIN7	167	3.799503951												
ENSG00000012174	MBTPS2	820	8.015074001												
ENSG00000131002	TXLNGY	0	0												
ENSG00000012171	SEMA3B	81	0.408498068												
ENSG00000220447	RP1-276J11.2	0	0												
ENSG00000131007	TTTY9B	0	0												
ENSG00000135587	SMPD2	88	3.33828642												
ENSG00000084710	EFR3B	61	0.449770275												
ENSG00000257022	RP11-729I10.2	1	0.173509624												
ENSG00000214110	LDHAP4	57	5.171781503												
ENSG00000196098	OR5K4	0	0												
ENSG00000071082	RPL31	2081	22.01100505												
ENSG00000124490	CRISP2	2	0.081012544												
ENSG00000139780	METTL21C	0	0												
ENSG00000180660	MAB21L1	0	0												
ENSG00000180663	VN1R3	0	0												
ENSG00000180662	RPL21P8	0	0												
ENSG00000180667	YOD1	324	4.39132293												
ENSG00000188419	CHM	266	2.212817255												
ENSG00000135632	SMYD5	434	8.218112982												
ENSG00000135631	RAB11FIP5	287	2.775610583												
ENSG00000135636	DYSF	20	0.182823676												
ENSG00000135637	CCDC142	136	1.230626231												
ENSG00000147155	EBP	1125	24.23737616												
ENSG00000112539	C6orf118	0	0												
ENSG00000263443	RP11-973F15.2	0	0												
ENSG00000114503	NCBP2	2943	16.03725156												
ENSG00000258629	CTD-2014B16.1	1	0.061238691												
ENSG00000184992	BRI3BP	2143	29.18927764												
ENSG00000116670	MAD2L2	336	5.269327712												
ENSG00000259767	RP11-90B9.2	2	0.398995699												
ENSG00000224296	MRPL49P1	0	0												
ENSG00000115677	HDLBP	5820	18.88773661												
ENSG00000259763	RP11-327J17.1	0	0												
ENSG00000259762	RP11-158M2.4	2	0.366688355												
ENSG00000259761	RP11-138H10.2	0	0												
ENSG00000259760	RP11-20G13.2	0	0												
ENSG00000259769	RP11-1360M22.2	0	0												
ENSG00000259768	RP5-991G20.1	148	2.767770841												
ENSG00000261971	MMP25-AS1	68	0.733639741												
ENSG00000250038	RP11-180C1.1	0	0												
ENSG00000258624	SERPINE4P	0	0												
ENSG00000261978	CTD-2529O21.2	0	0												
ENSG00000267593	RP11-108P20.4	0	0												
ENSG00000116852	KIF21B	19	0.124735686												
ENSG00000226284	ARPC3P1	9	1.528993705												
ENSG00000267594	CYP4F24P	0	0												
ENSG00000267597	RPIAP1	0	0												
ENSG00000263196	MTND3P13	0	0												
ENSG00000263199	RP11-372K20.1	0	0												
ENSG00000219747	RP1-292B18.1	25	5.58966462												
ENSG00000162591	MEGF6	197	1.992016242												
ENSG00000125255	SLC10A2	0	0												
ENSG00000227258	SMIM2-AS1	1	0.026717411												
ENSG00000227256	MIS18A-AS1	5	0.588768315												
ENSG00000227257	RP11-330M2.3	0	0												
ENSG00000227254	VDAC1P12	0	0												
ENSG00000227255	CDRT15P2	0	0												
ENSG00000227252	AC105760.2	35	1.353798614												
ENSG00000227253	RP11-166N17.1	1	0.066353131												
ENSG00000267734	RP4-604K5.3	0	0												
ENSG00000105143	SLC1A6	1	0.008194339												
ENSG00000105141	CASP14	0	0												
ENSG00000105146	AURKC	3	0.071365945												
ENSG00000267630	AC005758.1	0	0												
ENSG00000267631	CGB1	1	0.076047039												
ENSG00000267632	RP11-400F19.18	16	0.834597078												
ENSG00000267633	CTB-5E10.3	2	0.124412121												
ENSG00000267634	RPL7L1P5	0	0												
ENSG00000267636	AC008992.1	0	0												
ENSG00000267637	RP11-619I22.1	0	0												
ENSG00000186543	CROCCP5	0	0												
ENSG00000235949	AC061961.2	0	0												
ENSG00000211798	TRAV18	0	0												
ENSG00000235940	MTND1P21	0	0												
ENSG00000235943	TMEM212-IT1	0	0												
ENSG00000235942	LCE6A	0	0												
ENSG00000146205	ANO7	42	0.307997201												
ENSG00000235944	ZNF815P	61	1.466320348												
ENSG00000235947	EGOT	3	0.185531958												
ENSG00000235946	LL0XNC01-240C2.1	1	0.182604887												
ENSG00000164418	GRIK2	1	0.009639424												
ENSG00000242509	RN7SL156P	0	0												
ENSG00000164411	GJB7	0	0												
