gene_id	gene_name	MCF7_count	MCF7_FPKM																			
ENSG00000250563	KNOP1P5	1	0.063166539																			
ENSG00000187961	KLHL17	205	3.189308935																			
ENSG00000250561	OR7E59P	0	0																			
ENSG00000250568	RP11-333E13.2	2	0.552657086																			
ENSG00000250569	NTAN1P2	8	0.740795668																			
ENSG00000281591	DBET	1	0.025882691																			
ENSG00000220685	RP11-530A18.1	0	0																			
ENSG00000162843	WDR64	0	0																			
ENSG00000259247	TTTY25P	0	0																			
ENSG00000162849	KIF26B	2	0.010155582																			
ENSG00000149243	KLHL35	81	0.903808749																			
ENSG00000184702	5-Sep	46	0.304262148																			
ENSG00000259242	AC002306.1	0	0																			
ENSG00000184708	EIF4ENIF1	605	4.81724438																			
ENSG00000184709	LRRC26	327	23.54314967																			
ENSG00000163462	TRIM46	29	0.294580609																			
ENSG00000163463	KRTCAP2	391	6.491424881																			
ENSG00000163464	CXCR1	0	0																			
ENSG00000163466	ARPC2	2823	22.26600345																			
ENSG00000163467	TSACC	24	0.878857293																			
ENSG00000163468	CCT3	4779	55.2586705																			
ENSG00000162599	NFIA	385	1.878806958																			
ENSG00000162598	C1orf87	1	0.01578877																			
ENSG00000267731	RP11-147L13.8	0	0																			
ENSG00000162592	CCDC27	1	0.025429007																			
ENSG00000029364	SLC39A9	723	4.117871233																			
ENSG00000267732	RP11-456O19.3	0	0																			
ENSG00000267735	CTD-2265O21.7	1	0.190884849																			
ENSG00000029363	BCLAF1	1933	6.581562964																			
ENSG00000267737	AC061992.2	2	0.120726062																			
ENSG00000162594	IL23R	0	0																			
ENSG00000263609	RP11-1109M24.16	0	0																			
ENSG00000263608	RN7SL353P	0	0																			
ENSG00000118640	VAMP8	763	45.21120148																			
ENSG00000263603	CTD-2349P21.5	0	0																			
ENSG00000168488	ATXN2L	1907	9.100577106																			
ENSG00000263606	RP11-737O24.3	5	0.193515987																			
ENSG00000259169	GNRHR2P1	53	7.311242949																			
ENSG00000253144	RP11-281O15.7	0	0																			
ENSG00000253147	RP11-369E15.4	0	0																			
ENSG00000253146	CIR1P1	0	0																			
ENSG00000253141	CTB-164N12.1	0	0																			
ENSG00000115073	ACTR1B	722	16.696701																			
ENSG00000253143	RP11-333A23.3	0	0																			
ENSG00000253142	RP11-87E22.1	0	0																			
ENSG00000259161	CTD-2017C7.3	0	0																			
ENSG00000259163	RP11-1078H9.5	0	0																			
ENSG00000259162	RP11-203M5.6	0	0																			
ENSG00000259165	DDX18P1	2	0.087393063																			
ENSG00000259164	RP11-463C8.4	9	1.299156583																			
ENSG00000259167	NMNAT1P1	0	0																			
ENSG00000259166	RP11-1029J19.2	0	0																			
ENSG00000213853	EMP2	2458	23.29662502																			
ENSG00000213851	RP11-324J13.1	1	0.097038452																			
ENSG00000258590	NBEAP1	1	0.022638099																			
ENSG00000213857	RP11-12M9.4	1	0.082116501																			
ENSG00000213856	VDAC1P2	177	18.12584205																			
ENSG00000213854	CNN2P6	2	0.19342998																			
ENSG00000213859	KCTD11	131	3.266363758																			
ENSG00000178773	CPNE7	21	0.343463606																			
ENSG00000225816	GTF3AP5	1	0.124883057																			
ENSG00000280881	RP11-275E15.2	0	0																			
ENSG00000225814	GRPEL2P2	0	0																			
ENSG00000225815	AC092669.6	0	0																			
ENSG00000225813	AC009299.4	0	0																			
ENSG00000225811	RP11-547I7.1	1	0.144590517																			
ENSG00000225818	AC118653.2	0	0																			
ENSG00000225819	AC013269.3	0	0																			
ENSG00000229306	AP001464.4	0	0																			
ENSG00000229307	LINC00459	0	0																			
ENSG00000229305	RP11-431K24.2	1	0.080970689																			
ENSG00000229302	TAF9P2	0	0																			
ENSG00000229303	PPIAP25	0	0																			
ENSG00000229301	RP5-905H7.8	0	0																			
ENSG00000229308	AC010084.1	0	0																			
ENSG00000229309	RP11-452B18.2	0	0																			
ENSG00000278071	RP11-736N17.10	0	0																			
ENSG00000240174	RP11-851M3.1	0	0																			
ENSG00000278077	RP11-157L3.10	0	0																			
ENSG00000278075	RP11-248M19.1	0	0																			
ENSG00000055070	SZRD1	1740	14.94258046																			
ENSG00000227411	BAATP1	0	0																			
ENSG00000155719	OTOA	2	0.019238256																			
ENSG00000227413	RP5-1042K10.12	0	0																			
ENSG00000227416	RP11-109P14.2	0	0																			
ENSG00000227417	RP11-397P13.6	0	0																			
ENSG00000162337	LRP5	1562	16.87317891																			
ENSG00000155714	PDZD9	0	0																			
ENSG00000182010	RTKN2	166	1.470386419																			
ENSG00000182013	PNMAL1	0	0																			
ENSG00000244748	RN7SL153P	0	0																			
ENSG00000186704	DTX2P1	24	1.279267474																			
ENSG00000251776	RN7SKP242	0	0																			
ENSG00000245293	RP11-286E11.1	0	0																			
ENSG00000164659	KIAA1324L	64	0.471428679																			
ENSG00000242748	RPL23AP81	1	0.186388632																			
ENSG00000242747	RP11-30K9.1	0	0																			
ENSG00000164651	SP8	0	0																			
ENSG00000242741	RP11-20B7.1	2	0.222617624																			
ENSG00000164654	MIOS	515	3.745351499																			
ENSG00000114978	MOB1A	3456	37.17584619																			
ENSG00000252233	RN7SKP253	0	0																			
ENSG00000256925	ADGRA1-AS1	0	0																			
ENSG00000161021	MAML1	1090	8.099617801																			
ENSG00000256922	RP11-749H20.1	0	0																			
ENSG00000256923	RP11-449P1.1	0	0																			
ENSG00000226331	RPL23AP28	0	0																			
ENSG00000261608	SLC25A1P4	0	0																			
ENSG00000256928	RP11-809N8.2	0	0																			
ENSG00000254694	RP11-50B3.4	0	0																			
ENSG00000254695	RP11-396O20.1	0	0																			
ENSG00000254696	RP11-72M10.7	0	0																			
ENSG00000254697	COPS8P3	0	0																			
ENSG00000254690	GS1-393G12.12	0	0																			
ENSG00000254691	RP11-91P24.5	0	0																			
ENSG00000266929	RP11-400F19.8	0	0																			
ENSG00000266928	CTB-70G10.1	0	0																			
ENSG00000266925	RP11-434D2.7	0	0																			
ENSG00000266924	RP11-154H12.2	0	0																			
ENSG00000254698	RP11-659G9.3	0	0																			
ENSG00000254699	RP11-12D16.2	0	0																			
ENSG00000266921	RP11-15A1.7	3	0.055254015																			
ENSG00000266920	ACTBP9	0	0																			
ENSG00000257343	RP11-641A6.8	0	0																			
ENSG00000257342	RP11-571M6.7	1	0.124525738																			
ENSG00000257341	AL928654.7	7	0.314074452																			
ENSG00000215867	KRT18P57	1	0.069412672																			
ENSG00000257346	RP11-386G11.8	0	0																			
ENSG00000257345	RP11-511B23.1	0	0																			
ENSG00000234337	RP11-297L17.6	66	7.77396439																			
ENSG00000215861	WI2-1896O14.1	14	1.306118837																			
ENSG00000119509	INVS	377	4.352822891																			
ENSG00000228949	UGT1A12P	0	0																			
ENSG00000256699	RP11-669N7.3	0	0																			
ENSG00000256694	RP11-598F7.5	0	0																			
ENSG00000256695	RP1-166H1.2	0	0																			
ENSG00000228943	RP5-1053E7.2	0	0																			
ENSG00000267733	RP11-64C12.3	7	0.172852323																			
ENSG00000228940	RP11-348A7.1	1	0.094509762																			
ENSG00000165309	ARMC3	7	0.068284707																			
ENSG00000165304	MELK	1200	18.37357893																			
ENSG00000165300	SLITRK5	3	0.012374092																			
ENSG00000101608	MYL12A	4292	58.21980154																			
ENSG00000101605	MYOM1	7	0.062925172																			
ENSG00000170100	ZNF778	311	1.499112421																			
ENSG00000237026	RP11-328P23.2	1	0.278985548																			
ENSG00000187900	OR5H7P	0	0																			
ENSG00000198791	CNOT7	1093	7.064680582																			
ENSG00000198792	TMEM184B	1290	6.457780593																			
ENSG00000198793	MTOR	1339	8.489549131																			
ENSG00000198794	SCAMP5	237	1.383983931																			
ENSG00000198795	ZNF521	0	0																			
ENSG00000198796	ALPK2	1	0.006097618																			
ENSG00000198797	BRINP2	68	1.01024862																			
ENSG00000231426	RP5-899B16.1	0	0																			
ENSG00000197776	KLHDC1	22	0.455183457																			
ENSG00000231424	RP1-45C12.1	0	0																			
ENSG00000175550	DRAP1	547	10.91051875																			
ENSG00000231422	LINC01516	0	0																			
ENSG00000175556	LONRF3	17	0.195603351																			
ENSG00000197771	MCMBP	1564	17.37786094																			
ENSG00000231421	AC006050.2	0	0																			
ENSG00000279848	CTA-992D9.9	0	0																			
ENSG00000279849	AL023875.1	0	0																			
ENSG00000161682	FAM171A2	360	6.84194392																			
ENSG00000240173	RN7SL771P	0	0																			
ENSG00000179420	OR6W1P	0	0																			
ENSG00000279840	RP1-228P16.9	0	0																			
ENSG00000279841	RP11-274A11.4	0	0																			
ENSG00000279842	RP11-305A4.2	0	0																			
ENSG00000279844	RP11-20F18.1	0	0																			
ENSG00000279845	RP11-6L6.4	0	0																			
ENSG00000279846	RP11-20G13.4	0	0																			
ENSG00000279847	C8orf87	0	0																			
ENSG00000076321	KLHL20	277	3.87518549																			
ENSG00000183864	TOB2	1279	20.85618608																			
ENSG00000183862	CNGA2	4	0.122856021																			
ENSG00000167680	SEMA6B	97	1.727354318																			
ENSG00000124217	MOCS3	458	7.80778375																			
ENSG00000124214	STAU1	3184	35.58689788																			
ENSG00000124215	CDH26	17	0.166975778																			
ENSG00000124212	PTGIS	1	0.01496364																			
ENSG00000167685	ZNF444	299	2.04097006																			
ENSG00000247595	SPTY2D1-AS1	5	0.160301088																			
ENSG00000161970	RPL26	3936	62.51980607																			
ENSG00000175073	VCPIP1	218	1.908645029																			
ENSG00000161973	CCDC42	0	0																			
ENSG00000255279	RP11-375D13.4	0	0																			
ENSG00000255275	RP13-279N23.2	2	0.039845956																			
ENSG00000255274	TMPRSS4-AS1	1	0.192148987																			
ENSG00000255277	ABCC6P2	9	0.604468688																			
ENSG00000255276	RRM1-AS1	1	0.251570783																			
ENSG00000255271	RP4-594L9.2	0	0																			
ENSG00000255270	NAV2-IT1	0	0																			
ENSG00000255273	AF238378.7	0	0																			
ENSG00000255272	RP11-646J21.6	0	0																			
ENSG00000239670	RP4-803A2.2	0	0																			
ENSG00000160087	UBE2J2	447	2.985884846																			
ENSG00000036054	TBC1D23	458	4.120998948																			
ENSG00000104903	LYL1	0	0																			
ENSG00000228349	RPS26P4	0	0																			
ENSG00000002587	HS3ST1	0	0																			
ENSG00000002586	CD99	2091	28.10109566																			
ENSG00000231013	AC013275.2	0	0																			
ENSG00000263590	RP11-403I13.7	0	0																			
ENSG00000237868	AC097533.1	7	1.272034316																			
ENSG00000177954	RPS27	189	11.04868209																			
ENSG00000177951	BET1L	313	3.329470741																			
ENSG00000280059	RP11-401I19.2	0	0																			
ENSG00000280058	RP1-131F15.3	0	0																			
ENSG00000198242	RPL23A	1416	30.78308144																			
ENSG00000280056	RP11-562F9.3	0	0																			
ENSG00000237862	RP1-63G5.7	0	0																			
ENSG00000237863	RP6-24A23.3	0	0																			
ENSG00000198246	SLC29A3	160	3.930888264																			
ENSG00000223012	RN7SKP264	0	0																			
ENSG00000280051	RP11-206B11.1	0	0																			
ENSG00000280050	AC008622.1	0	0																			
ENSG00000135917	SLC19A3	5	0.049898814																			
ENSG00000135916	ITM2C	86	1.305288493																			
ENSG00000135914	HTR2B	1	0.038754894																			
ENSG00000135913	USP37	482	2.920884685																			
ENSG00000135912	TTLL4	415	1.983831316																			
ENSG00000092148	HECTD1	3136	14.39046197																			
ENSG00000034693	PEX3	330	10.30301235																			
ENSG00000135919	SERPINE2	11	0.079969799																			
ENSG00000230487	PSMG3-AS1	247	1.683245862																			
ENSG00000176396	EID2	237	10.41376299																			
ENSG00000230484	OR51A10P	0	0																			
ENSG00000176390	CRLF3	138	2.133602187																			
ENSG00000230482	ATP5G2P3	0	0																			
ENSG00000230481	IGKV1OR22-5	1	0.245885568																			
ENSG00000176393	RNPEP	1939	27.16123562																			
ENSG00000176399	DMRTA1	1	0.015630004																			
ENSG00000230489	VAV3-AS1	0	0																			
ENSG00000243900	RN7SL320P	0	0																			
ENSG00000243902	ELFN2	0	0																			
ENSG00000243903	RP11-285B24.1	0	0																			
ENSG00000243904	RPSAP5	1	0.098465488																			
ENSG00000083635	NUFIP1	233	5.807986975																			
ENSG00000248029	CTD-2313F11.3	0	0																			
ENSG00000248027	CTD-2383M3.1	1	0.046672113																			
ENSG00000063515	GSC2	0	0																			
ENSG00000279713	CTD-3035K23.3	4	0.17836781																			
ENSG00000247624	CPEB2-AS1	1	0.028178534																			
ENSG00000247627	MTND4P12	91	5.752394307																			
ENSG00000167531	LALBA	0	0																			
ENSG00000167536	DHRS13	502	8.813341409																			
ENSG00000167535	CACNB3	608	3.688802261																			
ENSG00000236472	AC002401.1	0	0																			
ENSG00000188886	ASTL	1	0.046447967																			
ENSG00000279716	AC006128.2	42	2.201033052																			
ENSG00000188883	KLRG2	308	8.014900335																			
ENSG00000279717	LLNLF-158E9.1	0	0																			
ENSG00000241506	PSMC1P1	1549	102.1457735																			
ENSG00000241505	RP11-161I10.1	0	0																			
ENSG00000094796	KRT31	0	0																			
ENSG00000279719	RP11-81A1.7	0	0																			
ENSG00000226453	RP11-379B8.1	12	1.270707898																			
ENSG00000239249	RN7SL757P	0	0																			
ENSG00000237289	CKMT1B	114	1.297820629																			
ENSG00000239739	RP11-373E16.4	0	0																			
ENSG00000237285	HNRNPA1P2	0	0																			
ENSG00000237286	AC004906.3	0	0																			
ENSG00000237280	RP11-96C23.9	3	0.379550106																			
ENSG00000237281	CATIP-AS2	0	0																			
ENSG00000237282	LINC00851	0	0																			
ENSG00000237283	RP11-316I3.1	0	0																			
ENSG00000272254	RP11-531A24.7	0	0																			
ENSG00000272255	CTD-3224K15.3	0	0																			
ENSG00000272256	RP11-489E7.4	5	0.612982331																			
ENSG00000272250	RP11-346C20.4	0	0																			
ENSG00000272259	RP11-305P22.9	2	0.040865489																			
ENSG00000101327	PDYN	0	0																			
ENSG00000271781	CTD-2589H19.6	24	2.641016163																			
ENSG00000271780	RP11-1017G21.5	28	2.258774559																			
ENSG00000271787	RP11-254F7.3	0	0																			
ENSG00000271784	RP1-28H20.3	0	0																			
ENSG00000200475	RN7SKP162	0	0																			
ENSG00000049192	ADAMTS6	2	0.012712647																			
ENSG00000271789	RP5-1112D6.7	0	0																			
ENSG00000271788	CTD-2201E18.5	12	1.287943147																			
ENSG00000274363	RP11-104O19.4	2	0.235252679																			
ENSG00000200472	RN7SKP44	0	0																			
ENSG00000101323	HAO1	1	0.048983394																			
ENSG00000237136	C4orf51	0	0																			
ENSG00000177042	TMEM80	130	1.65050064																			
ENSG00000237135	DDX10P1	0	0																			
ENSG00000177047	IFNW1	0	0																			
ENSG00000129566	TEP1	480	2.45095915																			
ENSG00000177045	SIX5	271	2.77421418																			
ENSG00000272789	RP11-286H15.1	0	0																			
ENSG00000272787	KB-226F1.2	4	0.525149267																			
ENSG00000272784	RP11-335L23.5	0	0																			
ENSG00000154252	GAL3ST2	3	0.190606185																			
ENSG00000272783	RP13-1016M1.2	0	0																			
ENSG00000237138	HUNK-AS1	0	0																			
ENSG00000237139	RP11-137L10.5	0	0																			
ENSG00000277550	RP5-1057B20.3	0	0																			
ENSG00000141232	TOB1	2456	46.62641596																			
ENSG00000277556	OR13C5	1	0.090954536																			
ENSG00000277558	RP3-468O1.6	0	0																			
ENSG00000277559	RP11-434E6.4	27	1.611916501																			
ENSG00000172671	ZFAND4	31	0.267932501																			
ENSG00000112337	SLC17A2	1	0.022509307																			
ENSG00000274098	RN7SL787P	0	0																			
ENSG00000274099	ABCB10P1	0	0																			
ENSG00000279068	CH17-140K24.5	0	0																			
ENSG00000223761	RP11-57C13.4	0	0																			
ENSG00000223764	RP11-54O7.3	176	2.48256721																			
ENSG00000223765	RP1-288M22.2	0	0																			
ENSG00000279062	CH507-216K13.1	0	0																			
ENSG00000279063	CTD-2537I9.15	0	0																			
ENSG00000223768	LINC00205	64	4.004940836																			
ENSG00000279061	RP3-332O11.2	0	0																			
ENSG00000236427	RP11-107M16.2	0	0																			
ENSG00000236426	RP11-79M19.2	1	0.041687496																			
ENSG00000236425	AC090018.1	0	0																			
ENSG00000279065	RP11-264J4.10	0	0																			
ENSG00000136750	GAD2	0	0																			
ENSG00000136754	ABI1	812	8.338884619																			
ENSG00000136758	YME1L1	3806	30.86961469																			
ENSG00000270781	RP11-501C14.9	0	0																			
ENSG00000270782	RP11-500K19.2	0	0																			
ENSG00000232508	MRPL45P1	0	0																			
ENSG00000232500	AP005273.1	0	0																			
ENSG00000232502	AC073464.7	0	0																			
ENSG00000232503	CYCSP8	0	0																			
ENSG00000232504	ST3GAL5-AS1	0	0																			
ENSG00000232505	XXbac-BPG308J9.3	0	0																			
ENSG00000249087	ZNF436-AS1	63	1.092396257																			
ENSG00000116014	KISS1R	13	0.399141229																			
ENSG00000116017	ARID3A	194	1.913724511																			
ENSG00000116016	EPAS1	991	7.520613667																			
ENSG00000249082	C5orf66-AS1	2	0.131884077																			
ENSG00000249081	OR5M14P	0	0																			
ENSG00000234034	AP000959.2	0	0																			
ENSG00000250567	CTD-2154H6.1	0	0																			
ENSG00000234033	RAC1P8	0	0																			
ENSG00000146676	PURB	1167	11.20094399																			
ENSG00000242860	RN7SL180P	0	0																			
ENSG00000197674	OR51C1P	0	0																			
ENSG00000234030	TMEM97P1	0	0																			
ENSG00000187243	MAGED4B	2	0.016125137																			
ENSG00000120440	TTLL2	0	0																			
ENSG00000249156	RP11-432M8.9	0	0																			
ENSG00000250560	RP11-598G2.1	0	0																			
ENSG00000274459	Metazoa_SRP	0	0																			
ENSG00000180211	RP1-278E11.3	9	1.865217665																			
ENSG00000271259	RP11-1109F11.5	1	0.16119165																			
ENSG00000187244	BCAM	2001	17.18735976																			
ENSG00000276208	RP11-168J5.2	0	0																			
ENSG00000271254	AC240274.1	454	6.609528326																			
ENSG00000276205	RP11-529O20.2	0	0																			
ENSG00000276204	RP11-203I2.2	0	0																			
ENSG00000276203	ANKRD20A3	1	0.007271804																			
ENSG00000276202	Metazoa_SRP	0	0																			
ENSG00000223867	AC098592.7	0	0																			
ENSG00000276200	RN7SL820P	1	0.291115355																			
ENSG00000186118	TEX38	0	0																			
ENSG00000270124	RP11-118F19.1	1	0.1448311																			
ENSG00000270127	RP11-526I2.5	0	0																			
ENSG00000270120	RP11-327F22.6	2	0.233360566																			
ENSG00000174099	MSRB3	32	0.186114641																			
ENSG00000278338	VWA8-AS1	3	0.105252105																			
ENSG00000224233	OR2J4P	0	0																			
ENSG00000235199	CYP2C58P	0	0																			
ENSG00000224235	RP5-1027O11.1	0	0																			
ENSG00000187969	ZCCHC13	0	0																			
ENSG00000137409	MTCH1	1961	33.20267734																			
ENSG00000224236	MRRFP1	3	0.15589879																			
ENSG00000224239	AC090044.2	0	0																			
ENSG00000278330	RP11-4B16.4	1	0.022233331																			
ENSG00000235191	NUCB1-AS1	0	0																			
ENSG00000235196	RP1-3E10.2	0	0																			
ENSG00000235197	ZNF33AP1	0	0																			
ENSG00000264655	CTD-2267D19.4	0	0																			
ENSG00000275576	RP5-836N17.4	3	0.568911706																			
ENSG00000275572	GRIFIN	1	0.084508244																			
ENSG00000060138	YBX3	2302	13.89289614																			
ENSG00000275578	RP11-357E16.1	0	0																			
ENSG00000281593	GS1-114I9.3	2	0.261391865																			
ENSG00000044012	GUCA2B	1	0.145801493																			
ENSG00000231857	MORF4L1P5	0	0																			
ENSG00000282998	RP11-152D8.1	0	0																			
ENSG00000175946	KLHL38	2	0.087833997																			
ENSG00000231852	CYP21A2	2	0.019117832																			
ENSG00000231851	UTAT33	2	0.183636057																			
ENSG00000130751	NPAS1	46	0.687751608																			
ENSG00000180818	HOXC10	45	0.833768917																			
ENSG00000231859	AC007875.2	0	0																			
ENSG00000130755	GMFG	0	0																			
ENSG00000233437	RP13-580B18.1	0	0																			
ENSG00000186115	CYP4F2	1	0.016582871																			
ENSG00000206150	RNASE13	0	0																			
ENSG00000110756	HPS5	553	4.965009258																			
ENSG00000248840	RP11-357G3.2	3	0.46136126																			
ENSG00000248842	CTB-1H10.1	0	0																			
ENSG00000248843	RP11-357G3.1	1	0.110742355																			
ENSG00000248844	RP11-626H12.3	0	0																			
ENSG00000248846	CTD-2016O11.1	0	0																			
ENSG00000248847	RP11-26C10.1	0	0																			
ENSG00000248848	PPBPP2	0	0																			
ENSG00000134278	SPIRE1	934	6.025336878																			
ENSG00000230813	RP11-690C23.5	0	0																			
ENSG00000230814	USP9YP24	0	0																			
ENSG00000230815	RP11-49O14.3	0	0																			
ENSG00000064726	BTBD1	1065	17.3470708																			
ENSG00000230818	MTND2P16	2	0.217881079																			
ENSG00000230819	ZNF736P5Y	0	0																			
ENSG00000217791	ASS1P9	9	0.633811828																			
ENSG00000072506	HSD17B10	1384	64.4224954																			
ENSG00000181135	ZNF707	163	0.676759723																			
ENSG00000134183	GNAT2	2	0.1074611																			
ENSG00000069712	KIAA1107	54	1.031702764																			
ENSG00000270587	RP11-51F16.9	5	1.053795291																			
ENSG00000134186	PRPF38B	1253	12.53213725																			
ENSG00000134184	GSTM1	0	0																			
ENSG00000262712	RP11-295D4.1	17	0.75923004																			
ENSG00000262714	RP11-44F14.8	22	0.89400411																			
ENSG00000248211	TRPC7-AS1	0	0																			
ENSG00000248210	RP11-24I21.1	0	0																			
ENSG00000248213	CICP16	0	0																			
ENSG00000037042	TUBG2	190	4.756551948																			
ENSG00000260622	RP11-690I21.3	0	0																			
ENSG00000260620	RP11-883G14.4	0	0																			
ENSG00000260621	RP11-413H22.2	2	0.317098328																			
ENSG00000260626	RP11-23E10.3	0	0																			
ENSG00000078487	ZCWPW1	55	0.717118227																			
ENSG00000260625	RP11-452L6.7	5	0.66445413																			
ENSG00000248215	RP11-722M1.1	0	0																			
ENSG00000260628	RP11-1166P10.1	0	0																			
ENSG00000260629	BGLT3	0	0																			
ENSG00000042753	AP2S1	1744	39.48144852																			
ENSG00000196096	AC079610.2	0	0																			
ENSG00000248216	KCTD9P5	1	0.074396146																			
ENSG00000105855	ITGB8	336	1.646608454																			
ENSG00000105854	PON2	690	6.261561882																			
ENSG00000111481	COPZ1	1508	16.328354																			
ENSG00000105856	HBP1	451	3.254621074																			
ENSG00000105851	PIK3CG	0	0																			
ENSG00000079689	SCGN	0	0																			
ENSG00000105852	PON3	2	0.032048413																			
ENSG00000142252	GEMIN7	237	5.183332784																			
ENSG00000012174	MBTPS2	657	6.173193693																			
ENSG00000131002	TXLNGY	0	0																			
ENSG00000012171	SEMA3B	1295	6.278090026																			
ENSG00000220447	RP1-276J11.2	0	0																			
ENSG00000131007	TTTY9B	0	0																			
ENSG00000135587	SMPD2	250	9.116560479																			
ENSG00000084710	EFR3B	262	1.856994687																			
ENSG00000257022	RP11-729I10.2	0	0																			
ENSG00000214110	LDHAP4	173	15.08896972																			
ENSG00000196098	OR5K4	0	0																			
ENSG00000071082	RPL31	2804	28.50996236																			
ENSG00000124490	CRISP2	0	0																			
ENSG00000139780	METTL21C	0	0																			
ENSG00000180660	MAB21L1	1	0.028746199																			
ENSG00000180663	VN1R3	0	0																			
ENSG00000180662	RPL21P8	0	0																			
ENSG00000180667	YOD1	24	0.312684297																			
ENSG00000188419	CHM	315	2.518984479																			
ENSG00000135632	SMYD5	717	13.05126832																			
ENSG00000135631	RAB11FIP5	616	5.726753601																			
ENSG00000135636	DYSF	14	0.12301725																			
ENSG00000135637	CCDC142	194	1.687489266																			
ENSG00000147155	EBP	828	17.14803026																			
ENSG00000112539	C6orf118	1	0.031009437																			
ENSG00000263443	RP11-973F15.2	0	0																			
ENSG00000114503	NCBP2	980	5.133535557																			
ENSG00000258629	CTD-2014B16.1	0	0																			
ENSG00000184992	BRI3BP	2382	31.1884491																			
ENSG00000116670	MAD2L2	413	6.226099317																			
ENSG00000259767	RP11-90B9.2	0	0																			
ENSG00000224296	MRPL49P1	0	0																			
ENSG00000115677	HDLBP	9097	28.37957702																			
ENSG00000259763	RP11-327J17.1	0	0																			
ENSG00000259762	RP11-158M2.4	0	0																			
ENSG00000259761	RP11-138H10.2	0	0																			
ENSG00000259760	RP11-20G13.2	0	0																			
ENSG00000259769	RP11-1360M22.2	0	0																			
ENSG00000259768	RP5-991G20.1	217	3.90101309																			
ENSG00000261971	MMP25-AS1	94	0.974881143																			
ENSG00000250038	RP11-180C1.1	0	0																			
ENSG00000258624	SERPINE4P	0	0																			
ENSG00000261978	CTD-2529O21.2	0	0																			
ENSG00000267593	RP11-108P20.4	0	0																			
ENSG00000116852	KIF21B	8	0.050485603																			
ENSG00000226284	ARPC3P1	7	1.143160295																			
ENSG00000267594	CYP4F24P	1	0.055090817																			
ENSG00000267597	RPIAP1	0	0																			
ENSG00000263196	MTND3P13	0	0																			
ENSG00000263199	RP11-372K20.1	0	0																			
ENSG00000219747	RP1-292B18.1	35	7.522497437																			
ENSG00000162591	MEGF6	127	1.234472576																			
ENSG00000125255	SLC10A2	1	0.023033472																			
ENSG00000227258	SMIM2-AS1	0	0																			
ENSG00000227256	MIS18A-AS1	1	0.113190496																			
ENSG00000227257	RP11-330M2.3	0	0																			
ENSG00000227254	VDAC1P12	0	0																			
ENSG00000227255	CDRT15P2	0	0																			
ENSG00000227252	AC105760.2	18	0.669279299																			
ENSG00000227253	RP11-166N17.1	0	0																			
